ID,Requirement,Traces from (System IDs),Priority,Notes,Verification activities,Validation Notes
SUB-29,The UI shall provide a calibration/setup panel for servo offsets and limits.,SYS-5,Should,Category: Calibration UI.,Test: adjust and save offset; restart keeps it.,
SUB-30,Calibration panel shall include a required steps checklist.,SYS-1,Could,Category: Calibration workflow.,Inspection: checklist exists.,
SUB-34,The UI shall support full-screen mode and responsive layout scaling.,SYS-1,Could,Category: Layout.,Test: resize window; layout remains usable.,
SUB-35,The UI shall use small compact input fields with labels above inputs to maximize list space.,SYS-1,Could,Category: UI density (from prompt log).,"Inspection: label above input, compact sizing.",
SUB-38,The UI shall provide a 'dry-run' toggle that simulates motion and logs commands without actuating motors.,SYS-10,Could,Category: Dry run.,Test: dry-run runs without sending PWM outputs.,
SUB-39,The UI shall display a simple workspace visual (bounds + target marker) when enabled.,SYS-8,Could,Category: Visualisation.,Inspection: bounds match config.,
SUB-40,The UI shall provide per-joint jog buttons with configurable increment step.,SYS-7,Could,Category: Jogging.,Test: increment size changes movement.,
SUB-62,Comms loss shall be detected via timeout and transition to fault state.,SYS-5,Must,Category: Comms timeout.,Test: unplug triggers fault within timeout.,
SUB-91,"Robot geometry parameters (link lengths, offsets) shall be stored in a single configuration file.",SYS-7,Must,Category: Robot model.,Inspection: parameters exist and are referenced.,
SUB-92,Geometry parameters shall use consistent units and state the unit in comments or doc.,SYS-1,Must,Category: Units.,Review: unit documented.,
SUB-93,Forward kinematics shall compute end-effector position from joint angles.,SYS-6,Should,Category: FK.,Unit test: FK matches known pose within tolerance.,
SUB-94,Inverse kinematics shall compute joint angles from XYZ target and return success/failure.,SYS-6,Must,Category: IK.,Unit test: unreachable returns failure.,
SUB-95,IK shall reject solutions that violate joint limits.,SYS-5,Must,Category: IK + limits.,Unit test: solution outside limits rejected.,
SUB-106,The planner shall publish commanded joint targets and computed XYZ for UI updates.,SYS-1,Should,Category: UI feedback.,Test: UI updates at least 10 Hz.,
SUB-109,The tool/gripper length offset shall be configurable and applied in kinematics.,SYS-9,Should,Category: Tool offset.,Test: offset changes reachable workspace accordingly.,
SUB-121,The system shall support direct move-to-target in teleop using incremental updates (not a single step).,SYS-2,Must,Category: Teleop motion.,Test: drag results in incremental commands.,
SUB-122,The planner shall avoid queue buildup by dropping intermediate teleop targets when new target arrives.,SYS-2,Should,Category: Queue management.,Test: rapid drags do not create backlog.,
SUB-125,The system shall treat angles consistently (degrees vs radians) and convert internally as needed.,SYS-1,Must,Category: Units discipline.,Unit test: conversion correct.,
SUB-131,Routine files shall be stored as JSON with a schema_version field.,SYS-7,Must,Category: Routine schema.,Inspection: schema_version present.,
SUB-132,"Each waypoint shall store pose, dwell time, and optional IO actions.",SYS-3,Should,Category: Waypoint model.,Inspection: waypoint fields exist.,
SUB-133,Waypoint dwell time shall be validated to be non-negative.,SYS-3,Must,Category: Validation.,Test: negative dwell rejected.,
SUB-134,Waypoint pose shall be stored in a consistent representation (joint angles or XYZ) with explicit flag.,SYS-3,Should,Category: Pose storage.,Inspection: flag present.,
SUB-135,Routine manager shall assign stable unique ids to routines independent of display names.,SYS-3,Should,Category: IDs.,Test: rename keeps id unchanged.,
SUB-136,Saving a routine shall be atomic (temp file then replace).,SYS-3,Should,Category: Atomic save.,Test: interruption leaves old routine intact.,
SUB-140,Teach recorder shall capture waypoint from current commanded pose at capture time.,SYS-3,Must,Category: Recording.,Test: captured pose matches UI pose at capture moment.,
SUB-141,Teach recorder shall allow adding a waypoint without moving the robot (snapshot).,SYS-3,Should,Category: Snapshot.,Test: can capture current pose as waypoint.,
SUB-142,Waypoint editor shall allow editing dwell time,SYS-3,Could,Category: Per-waypoint speed.,Test: waypoint speed affects segment time.,
SUB-143,Waypoint editor shall allow deleting a waypoint,SYS-3,Should,Category: Deletion UX.,Test: confirm shown before deletion.,
SUB-144,Waypoint list shall allow reordering and reflect in playback order.,SYS-4,Must,Category: Reordering.,Test: reorder changes playback sequence.,
SUB-147,Timeline file shall be stored as JSON with schema_version and updated_at timestamp.,SYS-7,Must,Category: Timeline schema.,Inspection: fields present.,
SUB-149,Timeline editor shall allow adding routines from routine list into timeline.,SYS-4,Must,Category: Timeline authoring.,Test: add routine to timeline.,
SUB-150,Timeline editor shall allow reordering and deleting items.,SYS-4,Must,Category: Timeline editing.,Test: reorder/delete persists after reload.,
SUB-151,Timeline engine shall execute items sequentially and stop on fault or stop command.,SYS-5,Must,Category: Execution sequencing.,Test: fault stops remaining items.,
SUB-152,Timeline engine shall support pausing and resuming with state preserved.,SYS-4,Should,Category: Pause/resume.,Test: pause mid-run then resume completes.,
SUB-153,Timeline engine shall support cancel that stops immediately and clears queue.,SYS-4,Must,Category: Cancel.,Test: cancel stops and clears queue.,
SUB-154,Timeline engine shall support looping,SYS-4,Could,Category: Looping.,Test: loops,
SUB-162,The system shall allow specifying gripper open/close actions at waypoints.,SYS-9,Should,Category: Gripper actions.,Test: playback actuates gripper.,
SUB-164,The system shall prevent teleop commands from affecting the robot during playback unless Stop/Cancel.,SYS-4,Must,Category: Mutual exclusion.,Test: teleop ignored while playing.,
SUB-165,The system shall provide a routine preview list before execution showing waypoints and dwell times.,SYS-3,Should,Category: Preview.,Inspection: preview shows step list.,
SUB-166,The system shall provide an estimated duration for routines and timelines (optional).,SYS-4,Could,Category: Analytics.,Test: estimate close to measured time.,
SUB-170,The system shall support 'record from teleop' workflow with a clear recording indicator to avoid accidental capture.,SYS-3,Should,Category: Workflow.,Test: indicator toggles and waypoints captured only when active.,
SUB-187,Teleop shall drop intermediate targets when new targets arrive (latest wins).,SYS-2,Should,Category: Latest-wins.,Test: rapid updates do not create lag.,
SUB-189,Software shall clamp PWM outputs to configured safe ranges.,SYS-7,Must,Category: PWM clamp.,Test: out-of-range clamped or rejected.,
SUB-194,Controller shall support gripper control channel command.,SYS-9,Should,Category: Gripper.,Test: open/close works.,
SUB-195,Controller shall support LED control channels or a status byte for LED driver.,SYS-8,Should,Category: LEDs IO.,Test: LED states set via protocol.,
SUB-202,"Wiring diagram shall include mapping of controller pins/channels to servos, gripper, LEDs.",SYS-8,Must,Category: Wiring docs.,Review: pin map included.,
SUB-211,"The LED control show o set logical states: ready, running, teach, fault.",SYS-8,Must,Category: LEDs,Unit test: set states updates snapshot.,
SUB-213,LED patterns shall support solid and blink with configurable blink period.,SYS-8,Should,Category: Patterns.,Test: blink period change reflected.,
SUB-220,The system shall read a JSON decribing the colour of each LED output and their pin via config.,SYS-8,Must,Category: LEDs config.,Test: load LED mapping JSON; verify outputs map to correct pins/channels.,
SUB-224,Teach mode shall trigger a yellow LED,SYS-8,Should,Category: Teach indication.,Test: teach -> teach LED pattern.,
SUB-226,The application shall store configuration in a dedicated config directory and load it at startup.,SYS-7,Must,Category: Config storage.,Test: config loaded on startup.,
SUB-230,Routines and timelines shall be stored in a human-readable JSON format using UTF-8 encoding.,SYS-7,Must,Category: Data format.,Inspection: UTF-8 and readable JSON.,
SUB-231,Saved JSON files shall include schema_version and timestamps.,SYS-7,Must,Category: Versioning.,Inspection: schema_version and timestamps present.,
SUB-247,The repository shall include pinned dependencies (requirements.txt or lockfile) and setup instructions.,SYS-10,Must,Category: Reproducibility.,Install on clean machine using docs.,
END,END,END,END,END,END,END
